ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
175,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,28002,7979,10935
176,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,89632,68341,12186
177,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,88745,57329,21364
178,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-3,88745,58036,22884
179,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-1,24254,10351,8628
180,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-3,86096,68670,12543
181,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-1,23136,14858,4036
182,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-3,85952,64425,17300
183,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-1,86286,57101,21354
184,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-3,86286,5181,76976
185,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-1,85603,14787,5463
186,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-3,85900,8356,72480
187,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-1,75572,13881,6458
188,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-3,85444,23354,57487
189,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-1,85305,38125,40224
190,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-3,85305,33677,47805
191,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-1,34872,6182,14565
192,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-3,86772,35023,47478
193,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-1,33395,7509,13410
194,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-3,88104,51906,31624
195,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-1,89380,54419,26874
196,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,89380,64989,19375
197,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,29840,8752,12682
198,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,90577,66916,18373
199,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,28848,9313,12359
200,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,90998,69719,16313
201,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,91034,67737,16115
